ds,y
01-02-2019,1505.0372
04-02-2019,1580.7629
05-02-2019,1587.3436
06-02-2019,1623.7823
07-02-2019,1640.3811
08-02-2019,1655.0646
11-02-2019,1605.8575
12-02-2019,1608.9023
14-02-2019,1608.2639
15-02-2019,1592.4508
18-02-2019,1546.6815
19-02-2019,1559.5480
20-02-2019,1532.7346
21-02-2019,1522.3726
22-02-2019,1537.1052
25-02-2019,1566.3250
26-02-2019,1592.5491
27-02-2019,1609.2461
28-02-2019,1624.7644
01-03-2019,1640.0374
05-03-2019,1634.0460
06-03-2019,1675.4939
07-03-2019,1621.4742
08-03-2019,1618.0366
11-03-2019,1660.5157
12-03-2019,1669.6499
13-03-2019,1637.2872
14-03-2019,1664.2970
15-03-2019,1677.5564
18-03-2019,1659.2389
19-03-2019,1665.7703
20-03-2019,1645.4883
22-03-2019,1633.9969
25-03-2019,1675.3466
26-03-2019,1677.4092
27-03-2019,1636.2069
28-03-2019,1625.0592
01-04-2019,1692.5837
02-04-2019,1668.7660
03-04-2019,1645.9304
04-04-2019,1670.7303
05-04-2019,1688.3604
08-04-2019,1654.4261
09-04-2019,1685.2665
10-04-2019,1691.8472
11-04-2019,1687.7710
12-04-2019,1701.2268
15-04-2019,1713.7496
16-04-2019,1684.0388
18-04-2019,1693.6150
22-04-2019,1671.1724
23-04-2019,1656.8816
24-04-2019,1711.6378
25-04-2019,1685.7085
26-04-2019,1691.6506
30-04-2019,1715.7139
02-05-2019,1683.7441
03-05-2019,1671.5652
06-05-2019,1664.4443
07-05-2019,1659.0425
08-05-2019,1638.7605
09-05-2019,1596.5762
10-05-2019,1620.9340
13-05-2019,1596.1832
14-05-2019,1588.5221
15-05-2019,1580.1737
16-05-2019,1611.0632
17-05-2019,1603.5985
20-05-2019,1630.1173
21-05-2019,1666.2614
22-05-2019,1650.2518
23-05-2019,1701.5706
24-05-2019,1734.1790
27-05-2019,1565.0481
28-05-2019,1589.0133
29-05-2019,1560.7756
30-05-2019,1557.1907
31-05-2019,1563.9187
03-06-2019,1587.4418
04-06-2019,1558.0747
06-06-2019,1552.1816
07-06-2019,1538.3330
10-06-2019,1533.2257
11-06-2019,1528.0692
12-06-2019,1507.1980
13-06-2019,1518.9841
14-06-2019,1495.1665
17-06-2019,1513.0419
18-06-2019,1515.4974
19-06-2019,1512.9438
20-06-2019,1574.4280
21-06-2019,1518.1984
24-06-2019,1548.2040
25-06-2019,1573.8386
26-06-2019,1569.4679
27-06-2019,1573.2494
28-06-2019,1568.4857
01-07-2019,1581.4996
02-07-2019,1588.4240
03-07-2019,1601.5360
04-07-2019,1590.9285
05-07-2019,1582.0889
08-07-2019,1547.5654
09-07-2019,1576.4905
10-07-2019,1594.5134
11-07-2019,1579.9773
12-07-2019,1584.3971
15-07-2019,1585.6248
16-07-2019,1619.2151
17-07-2019,1622.5054
18-07-2019,1612.6346
19-07-2019,1595.4465
22-07-2019,1596.3796
23-07-2019,1590.2410
24-07-2019,1575.5083
25-07-2019,1612.4873
26-07-2019,1636.9926
29-07-2019,1623.7823
30-07-2019,1628.8896
31-07-2019,1604.6299
01-08-2019,1586.5577
02-08-2019,1570.3029
05-08-2019,1549.4316
06-08-2019,1587.1963
07-08-2019,1604.7772
08-08-2019,1621.5725
09-08-2019,1635.2737
13-08-2019,1497.2289
14-08-2019,1520.5549
16-08-2019,1496.1372
19-08-2019,1506.8571
20-08-2019,1510.8772
21-08-2019,1521.7460
22-08-2019,1556.8839
23-08-2019,1559.9609
26-08-2019,1608.0521
27-08-2019,1581.7484
28-08-2019,1564.9735
29-08-2019,1603.0396
30-08-2019,1613.3625
03-09-2019,1627.3084
04-09-2019,1651.1306
05-09-2019,1626.8618
06-09-2019,1625.4722
09-09-2019,1615.0996
11-09-2019,1604.5781
12-09-2019,1632.9662
13-09-2019,1616.2906
16-09-2019,1632.6189
17-09-2019,1589.5403
18-09-2019,1604.1810
19-09-2019,1570.6809
20-09-2019,1625.8195
23-09-2019,1599.7639
24-09-2019,1617.5811
25-09-2019,1621.3528
26-09-2019,1662.6448
27-09-2019,1648.1528
30-09-2019,1653.1655
01-10-2019,1610.5337
03-10-2019,1616.2906
04-10-2019,1610.2358
07-10-2019,1634.4551
09-10-2019,1638.3759
10-10-2019,1654.8033
11-10-2019,1677.4344
14-10-2019,1671.2307
15-10-2019,1680.5610
16-10-2019,1707.4603
17-10-2019,1710.1899
18-10-2019,1725.1285
22-10-2019,1728.2552
23-10-2019,1722.4982
24-10-2019,1750.9857
25-10-2019,1746.1219
29-10-2019,1741.3574
30-10-2019,1723.7389
31-10-2019,1742.0524
